codigo_ibge,municipio,uf,area_municipal_equal_area_km2,area_contato_direto_st_km2,area_contato_composto_stn_km2,area_contato_total_cerrado_caatinga_km2,percentual_contato_total_cerrado_caatinga
3142908,Monte Azul,MG,1001.296462,0.000000,95.585036,95.585036,9.546127
3143153,Monte Formoso,MG,385.552789,0.000000,0.000000,0.000000,0.000000
3143302,Montes Claros,MG,3589.813514,0.000000,0.000000,0.000000,0.000000
3143450,Montezuma,MG,1130.419259,0.000000,2.897147,2.897147,0.256290
3144003,Mutum,MG,1250.823544,0.000000,0.000000,0.000000,0.000000
3144201,Nacip Raydan,MG,233.493030,0.000000,0.000000,0.000000,0.000000
3144300,Nanuque,MG,1518.165433,0.000000,0.000000,0.000000,0.000000
3144359,Naque,MG,127.172980,0.000000,0.000000,0.000000,0.000000
3144375,Natalândia,MG,468.659595,0.000000,0.000000,0.000000,0.000000
3144656,Ninheira,MG,1108.282233,0.000000,0.000000,0.000000,0.000000
3144672,Nova Belém,MG,146.776917,0.000000,0.000000,0.000000,0.000000
3144904,Nova Módica,MG,375.972663,0.000000,0.000000,0.000000,0.000000
3145059,Nova Porteirinha,MG,120.943489,0.000000,0.000000,0.000000,0.000000
3145307,Novo Cruzeiro,MG,1702.981308,0.000000,0.000000,0.000000,0.000000
3145356,Novo Oriente de Minas,MG,755.150978,0.000000,0.000000,0.000000,0.000000
3145372,Novorizonte,MG,271.610161,0.000000,0.000000,0.000000,0.000000
3145455,Olhos-d'Água,MG,2092.077842,0.000000,0.000000,0.000000,0.000000
3146206,Ouro Verde de Minas,MG,175.482116,0.000000,0.000000,0.000000,0.000000
3146255,Padre Carvalho,MG,446.274794,0.000000,0.000000,0.000000,0.000000
3146305,Padre Paraíso,MG,544.375377,0.000000,0.000000,0.000000,0.000000
3146552,Pai Pedro,MG,839.804983,0.000000,0.000000,0.000000,0.000000
3146750,Palmópolis,MG,433.153907,0.000000,0.000000,0.000000,0.000000
3147956,Patis,MG,444.194726,0.000000,0.000000,0.000000,0.000000
3148400,Paulistas,MG,220.564287,0.000000,0.000000,0.000000,0.000000
3148509,Pavão,MG,601.190488,0.000000,0.000000,0.000000,0.000000
3148608,Peçanha,MG,996.645973,0.000000,0.000000,0.000000,0.000000
3148707,Pedra Azul,MG,1594.651085,0.000000,0.000000,0.000000,0.000000
3149150,Pedras de Maria da Cruz,MG,1525.648444,160.440013,0.000000,160.440013,10.516185
3149952,Periquito,MG,228.907488,0.000000,0.000000,0.000000,0.000000
3150000,Pescador,MG,317.462524,0.000000,0.000000,0.000000,0.000000
3150158,Piedade de Caratinga,MG,109.344631,0.000000,0.000000,0.000000,0.000000
3150570,Pintópolis,MG,1228.735910,0.000000,0.000000,0.000000,0.000000
3151206,Pirapora,MG,549.514295,0.000000,0.000000,0.000000,0.000000
3152131,Ponto Chique,MG,602.798654,0.000000,0.000000,0.000000,0.000000
3152170,Ponto dos Volantes,MG,1212.413395,0.000000,0.000000,0.000000,0.000000
3152204,Porteirinha,MG,1749.683289,0.000000,0.000000,0.000000,0.000000
3152402,Poté,MG,625.111099,0.000000,0.000000,0.000000,0.000000
3154309,Resplendor,MG,1081.795723,0.000000,0.000000,0.000000,0.000000
3154457,Riachinho,MG,1719.265576,0.000000,0.000000,0.000000,0.000000
