codigo_ibge,municipio,uf,codigo_sudene,recorte,fonte,versao_recorte
3126752,Franciscópolis,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126802,Frei Gaspar,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126901,Frei Inocêncio,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126950,Frei Lagonegro,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127057,Fronteira dos Vales,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127073,Fruta de Leite,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127305,Galiléia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127339,Gameleiras,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127354,Glaucilândia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127370,Goiabeira,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127503,Gonzaga,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127701,Governador Valadares,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3127800,Grão Mogol,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3128006,Guanhães,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3128253,Guaraciama,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3129608,Ibiaí,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3129657,Ibiracatu,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3130051,Icaraí de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3130556,Imbé de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
